apk,color,fuel,history,make,mileage,model,owners,power,price_euro,seller,transmission,weight,year,predicted_label
Feb/27,Grijs,Benzine,,Alfa,98929,Romeo Stelvio,,206,41500,Autobedrijf,Automatisch,1635,Jul/20,0
,Rood,Benzine,Ja,Alfa,97337,Romeo Stelvio,,147,41950,Autobedrijf,Automatisch,1635,Jan/22,0
Nieuw,Rood,Benzine,Ja,Alfa,99479,Romeo Stelvio,,207,45900,Autobedrijf,Automatisch,1635,Oct/21,0
Jul/26,Grijs,Benzine,,Alfa,89214,Romeo Stelvio,,206,32995,Autobedrijf,Automatisch,1635,Jul/18,5
Jan/26,Zwart,Benzine,Ja,Alfa,90818,Romeo MiTo,,63,6850,Autobedrijf,Handgeschakeld,1105,Nov/12,0
Aug/25,Rood,Benzine,,Alfa,100048,Romeo Giulietta,,177,18750,Autobedrijf,Automatisch,1295,Aug/16,0
,Geel,Benzine,Ja,Alfa,36561,Romeo Giulia,1,206,51950,Autobedrijf,Automatisch,1505,Mar/22,3
Jun/25,Wit,Benzine,Ja,Alfa,119191,Romeo MiTo,2,99,8750,Autobedrijf,Handgeschakeld,1110,Jun/13,0
Sep/25,Rood,Benzine,Ja,Alfa,115518,Romeo Spider,4,136,12999,Autobedrijf,Handgeschakeld,1505,Aug/07,0
Nieuw,Wit,Benzine,Ja,Alfa,119818,Romeo Stelvio,,206,39950,Autobedrijf,Automatisch,1635,May/21,5
,Grijs,Benzine,,Alfa,111230,Romeo 147,,77,1900,Autobedrijf,Handgeschakeld,1165,Jun/06,0
,Grijs,Benzine,Ja,Alfa,136425,Romeo MiTo,,77,7445,Autobedrijf,Handgeschakeld,1085,Jan/12,0
Nov/25,Blauw,Benzine,Ja,Alfa,171537,Romeo 147,,184,16990,Autobedrijf,Handgeschakeld,1335,Jul/04,0
Mar/26,Grijs,Benzine,Ja,Alfa,141298,Romeo Giulietta,,177,15950,Autobedrijf,Automatisch,1295,May/15,0
,,Benzine,,Alfa,147500,Romeo Giulietta,,88,6250,Particulier,Handgeschakeld,1255,Mar/11,0
,Grijs,Benzine,,Alfa,151294,Romeo 156,,184,29950,Autobedrijf,Handgeschakeld,1535,Jan/02,5
Sep/25,Zwart,Benzine,,Alfa,127979,Romeo MiTo,,77,5945,Autobedrijf,Handgeschakeld,1105,Mar/14,0
Oct/25,Grijs,Benzine,Ja,Alfa,141534,Romeo MiTo,,125,12950,Autobedrijf,Automatisch,1145,Oct/17,0
,Zwart,Benzine,Ja,Alfa,133337,Romeo Giulietta,,125,17850,Autobedrijf,Automatisch,1280,Aug/18,0
,Rood,Benzine,Ja,Alfa,105000,Romeo 159,,147,14950,Particulier,Handgeschakeld,1405,Nov/09,0
Apr/25,Zwart,Benzine,,Alfa,142823,Romeo MiTo,,125,9900,Particulier,Handgeschakeld,1120,Mar/10,0
Jan/26,Zwart,Benzine,Ja,Alfa,114000,Romeo MiTo,,74,8000,Particulier,Handgeschakeld,1105,Dec/15,0
May/25,Grijs,Benzine,,Alfa,120000,Romeo Giulietta,3,120,12500,Particulier,Automatisch,1280,May/14,0
Nov/25,Grijs,Benzine,,Alfa,142160,Romeo 147,,77,1399,Autobedrijf,Handgeschakeld,1185,Aug/02,0
Dec/26,Rood,Benzine,Ja,Alfa,95191,Romeo Giulietta,,177,20899,Autobedrijf,Automatisch,1295,Mar/17,5
Nieuw,Grijs,Benzine,Ja,Alfa,97312,Romeo Giulietta,,125,18400,Autobedrijf,Automatisch,1280,Jun/18,0
Nieuw,Blauw,Benzine,Ja,Alfa,87680,Romeo Giulia,2,147,26950,Autobedrijf,Automatisch,1404,Oct/19,0
,Wit,Benzine,Ja,Alfa,90033,Romeo Stelvio,,207,29770,Autobedrijf,Automatisch,1635,Sep/17,0
Mar/26,Grijs,Benzine,Ja,Alfa,97315,Romeo MiTo,,73,8945,Autobedrijf,Handgeschakeld,1105,Feb/16,1
,,Benzine,,Alfa,93404,Romeo Giulia,,147,27950,Autobedrijf,Automatisch,1404,Feb/18,0
Nieuw,Rood,Benzine,Ja,Alfa,73654,Romeo Giulia,,206,39900,Autobedrijf,Automatisch,1404,Feb/21,5
Nov/25,Wit,Benzine,Ja,Alfa,131000,Romeo MiTo,,140,11000,Particulier,Handgeschakeld,1120,Aug/13,0
Sep/25,Rood,Diesel,Ja,Alfa,153252,Romeo MiTo,3,63,5450,Autobedrijf,Handgeschakeld,1125,Jul/13,0
Nieuw,Wit,Benzine,Ja,Alfa,174229,Romeo MiTo,,74,6395,Autobedrijf,Handgeschakeld,1105,Nov/14,0
